country,year,CL,PR,Status,x_scale,Region_Code,Region_Name,is_ldc
Afghanistan,2005,5,5,PF,2005,142,Asia,1
Afghanistan,2020,6,5,NF,2020,142,Asia,1
Albania,2005,3,3,PF,2005,150,Europe,0
Albania,2020,3,3,PF,2020,150,Europe,0
Algeria,2005,5,6,NF,2005,2,Africa,0
Algeria,2020,5,6,NF,2020,2,Africa,0
Andorra,2005,1,1,F,2005,150,Europe,0
Andorra,2020,1,1,F,2020,150,Europe,0
Angola,2005,5,6,NF,2005,2,Africa,1
Angola,2020,5,6,NF,2020,2,Africa,1
Antigua and Barbuda,2005,2,2,F,2005,19,Americas,0
Antigua and Barbuda,2020,2,2,F,2020,19,Americas,0
Argentina,2005,2,2,F,2005,19,Americas,0
Argentina,2020,2,2,F,2020,19,Americas,0
Armenia,2005,4,5,PF,2005,142,Asia,0
Armenia,2020,4,4,PF,2020,142,Asia,0
Australia,2005,1,1,F,2005,9,Oceania,0
Australia,2020,1,1,F,2020,9,Oceania,0
Austria,2005,1,1,F,2005,150,Europe,0
Austria,2020,1,1,F,2020,150,Europe,0
Azerbaijan,2005,5,6,NF,2005,142,Asia,0
Azerbaijan,2020,6,7,NF,2020,142,Asia,0
Bahamas,2005,1,1,F,2005,19,Americas,0
Bahamas,2020,1,1,F,2020,19,Americas,0
Bahrain,2005,5,5,PF,2005,142,Asia,0
Bahrain,2020,6,7,NF,2020,142,Asia,0
Bangladesh,2005,4,4,PF,2005,142,Asia,1
Bangladesh,2020,5,5,PF,2020,142,Asia,1
Barbados,2005,1,1,F,2005,19,Americas,0
Barbados,2020,1,1,F,2020,19,Americas,0
Belarus,2005,6,7,NF,2005,150,Europe,0
Belarus,2020,6,7,NF,2020,150,Europe,0
Belgium,2005,1,1,F,2005,150,Europe,0
Belgium,2020,1,1,F,2020,150,Europe,0
Belize,2005,2,1,F,2005,19,Americas,0
Belize,2020,1,2,F,2020,19,Americas,0
Benin,2005,2,2,F,2005,2,Africa,1
Benin,2020,2,4,PF,2020,2,Africa,1
Bhutan,2005,5,6,NF,2005,142,Asia,1
Bhutan,2020,4,2,PF,2020,142,Asia,1
Bolivia (Plurinational State of),2005,3,3,PF,2005,19,Americas,0
Bolivia (Plurinational State of),2020,3,3,PF,2020,19,Americas,0
Bosnia and Herzegovina,2005,3,4,PF,2005,150,Europe,0
Bosnia and Herzegovina,2020,4,4,PF,2020,150,Europe,0
Botswana,2005,2,2,F,2005,2,Africa,0
Botswana,2020,2,3,F,2020,2,Africa,0
Brazil,2005,2,2,F,2005,19,Americas,0
Brazil,2020,3,2,F,2020,19,Americas,0
Brunei Darussalam,2005,5,6,NF,2005,142,Asia,0
Brunei Darussalam,2020,5,6,NF,2020,142,Asia,0
Bulgaria,2005,2,1,F,2005,150,Europe,0
Bulgaria,2020,2,2,F,2020,150,Europe,0
Burkina Faso,2005,3,5,PF,2005,2,Africa,1
Burkina Faso,2020,4,4,PF,2020,2,Africa,1
Burundi,2005,5,3,PF,2005,2,Africa,1
Burundi,2020,6,7,NF,2020,2,Africa,1
Cabo Verde,2005,1,1,F,2005,2,Africa,0
Cabo Verde,2020,1,1,F,2020,2,Africa,0
Cambodia,2005,5,6,NF,2005,142,Asia,1
Cambodia,2020,5,7,NF,2020,142,Asia,1
Cameroon,2005,6,6,NF,2005,2,Africa,0
Cameroon,2020,6,6,NF,2020,2,Africa,0
Canada,2005,1,1,F,2005,19,Americas,0
Canada,2020,1,1,F,2020,19,Americas,0
Central African Republic,2005,4,5,PF,2005,2,Africa,1
Central African Republic,2020,7,7,NF,2020,2,Africa,1
Chad,2005,5,6,NF,2005,2,Africa,1
Chad,2020,6,7,NF,2020,2,Africa,1
Chile,2005,1,1,F,2005,19,Americas,0
Chile,2020,1,1,F,2020,19,Americas,0
China,2005,6,7,NF,2005,142,Asia,0
China,2020,6,7,NF,2020,142,Asia,0
Colombia,2005,3,3,PF,2005,19,Americas,0
Colombia,2020,3,3,PF,2020,19,Americas,0
Comoros,2005,4,4,PF,2005,2,Africa,1
Comoros,2020,4,5,PF,2020,2,Africa,1
Congo,2005,5,5,PF,2005,2,Africa,0
Congo,2020,5,7,NF,2020,2,Africa,0
Democratic Republic of the Congo,2005,6,6,NF,2005,2,Africa,1
Democratic Republic of the Congo,2020,6,7,NF,2020,2,Africa,1
Costa Rica,2005,1,1,F,2005,19,Americas,0
Costa Rica,2020,1,1,F,2020,19,Americas,0
CÃƒÂ´te dÃ¢â‚¬â„¢Ivoire,2005,6,6,NF,2005,2,Africa,0
CÃƒÂ´te dÃ¢â‚¬â„¢Ivoire,2020,4,5,PF,2020,2,Africa,0
Croatia,2005,2,2,F,2005,150,Europe,0
Croatia,2020,2,1,F,2020,150,Europe,0
Cuba,2005,7,7,NF,2005,19,Americas,0
Cuba,2020,6,7,NF,2020,19,Americas,0
Cyprus,2005,1,1,F,2005,142,Asia,0
Cyprus,2020,1,1,F,2020,142,Asia,0
Czechia,2005,1,1,F,2005,150,Europe,0
Czechia,2020,1,1,F,2020,150,Europe,0
Denmark,2005,1,1,F,2005,150,Europe,0
Denmark,2020,1,1,F,2020,150,Europe,0
Djibouti,2005,5,5,PF,2005,2,Africa,1
Djibouti,2020,5,7,NF,2020,2,Africa,1
Dominica,2005,1,1,F,2005,19,Americas,0
Dominica,2020,1,1,F,2020,19,Americas,0
Dominican Republic,2005,2,2,F,2005,19,Americas,0
Dominican Republic,2020,3,3,PF,2020,19,Americas,0
Ecuador,2005,3,3,PF,2005,19,Americas,0
Ecuador,2020,3,3,PF,2020,19,Americas,0
Egypt,2005,5,6,NF,2005,2,Africa,0
Egypt,2020,6,6,NF,2020,2,Africa,0
El Salvador,2005,3,2,F,2005,19,Americas,0
El Salvador,2020,4,2,PF,2020,19,Americas,0
Equatorial Guinea,2005,6,7,NF,2005,2,Africa,0
Equatorial Guinea,2020,7,7,NF,2020,2,Africa,0
Eritrea,2005,6,7,NF,2005,2,Africa,1
Eritrea,2020,7,7,NF,2020,2,Africa,1
Estonia,2005,1,1,F,2005,150,Europe,0
Estonia,2020,1,1,F,2020,150,Europe,0
Eswatini,2005,5,7,NF,2005,2,Africa,0
Eswatini,2020,5,7,NF,2020,2,Africa,0
Ethiopia,2005,5,5,PF,2005,2,Africa,1
Ethiopia,2020,6,6,NF,2020,2,Africa,1
Fiji,2005,3,4,PF,2005,9,Oceania,0
Fiji,2020,3,3,PF,2020,9,Oceania,0
Finland,2005,1,1,F,2005,150,Europe,0
Finland,2020,1,1,F,2020,150,Europe,0
France,2005,1,1,F,2005,150,Europe,0
France,2020,2,1,F,2020,150,Europe,0
Gabon,2005,4,6,PF,2005,2,Africa,0
Gabon,2020,5,7,NF,2020,2,Africa,0
Georgia,2005,3,3,PF,2005,142,Asia,0
Georgia,2020,3,4,PF,2020,142,Asia,0
Germany,2005,1,1,F,2005,150,Europe,0
Germany,2020,1,1,F,2020,150,Europe,0
Ghana,2005,2,1,F,2005,2,Africa,0
Ghana,2020,2,2,F,2020,2,Africa,0
Greece,2005,2,1,F,2005,150,Europe,0
Greece,2020,2,1,F,2020,150,Europe,0
Grenada,2005,2,1,F,2005,19,Americas,0
Grenada,2020,2,1,F,2020,19,Americas,0
Guatemala,2005,4,4,PF,2005,19,Americas,0
Guatemala,2020,4,4,PF,2020,19,Americas,0
Guinea,2005,5,6,NF,2005,2,Africa,1
Guinea,2020,5,5,PF,2020,2,Africa,1
Guinea-Bissau,2005,4,3,PF,2005,2,Africa,1
Guinea-Bissau,2020,4,5,PF,2020,2,Africa,1
Guyana,2005,3,3,PF,2005,19,Americas,0
Guyana,2020,3,2,F,2020,19,Americas,0
Haiti,2005,6,7,NF,2005,19,Americas,1
Haiti,2020,5,5,PF,2020,19,Americas,1
Honduras,2005,3,3,PF,2005,19,Americas,0
Honduras,2020,5,4,PF,2020,19,Americas,0
Hungary,2005,1,1,F,2005,150,Europe,0
Hungary,2020,3,3,PF,2020,150,Europe,0
Iceland,2005,1,1,F,2005,150,Europe,0
Iceland,2020,1,1,F,2020,150,Europe,0
India,2005,3,2,F,2005,142,Asia,0
India,2020,4,2,PF,2020,142,Asia,0
Indonesia,2005,3,2,F,2005,142,Asia,0
Indonesia,2020,4,2,PF,2020,142,Asia,0
Iran (Islamic Republic of),2005,6,6,NF,2005,142,Asia,0
Iran (Islamic Republic of),2020,6,6,NF,2020,142,Asia,0
Iraq,2005,5,6,NF,2005,142,Asia,0
Iraq,2020,6,5,NF,2020,142,Asia,0
Ireland,2005,1,1,F,2005,150,Europe,0
Ireland,2020,1,1,F,2020,150,Europe,0
